user;tanggal;score;content;;
A Google user;19/01/2020;1;Error;;
A Google user;15/01/2020;2;Mo registrasi aja gagal,, mobil tidak terdaftar,, gmn mo pake... Hadeeehhh;;
A Google user;02/01/2020;2;Isi data kenapa berbau rasis yah? WNI WNI KETURUNAN (CHINESE) WNI KETURUNAN (LAINNYA) WNI KETURUNAN (INDIA) WNA;;
A Google user;22/12/2019;1;Selalu gagal untuk registrasi;;
A Google user;17/12/2019;1;6 bulan kemudian kejadian yg sama berulang. Sudah booking melalui app, mendapat pemberitahuan per telpon jadwal waktu service di reassign ke jam lebih lambat.... What a waste.....;;
A Google user;16/11/2019;2;Tidak dapat registrasi, kendaraan tidak terdaftar;;
A Google user;03/11/2019;1;Tidak bisa registrasi. Muncul notif : cURL error 7: failed to connect to....... Tolong diperbaiki sistem applikasi nya;;
A Google user;31/10/2019;1;Membuatku Terharu...ketika mencoba apps ini. Sangat diluar ekspetasi, baru mau register selalu gagal padahal data udah valid.;;
A Google user;30/10/2019;1;Kemarin ganti oli request engine flush, SA nya ga tau engine flush apa, malah dikasi engine cleaner. Mohon customer dimengerti. SA nya ditraining kalau ga tau engine flush pas ganti oli;;
A Google user;24/10/2019;1;BUTUT! aplikasi tdk bisa booking pdhl sdh pilih bbbrp bengkel n waktu yg kosong. Akhirnya pake sistem jadul, telpon lsg bengkel.;;
A Google user;23/10/2019;1;Susah sekali untuk booking melalui aplikasi ini. Sebaiknya belajar dari aplikasi auto 2000 toyota atau aplikasi honda fatmawati grup, aplikasi mereka jauh lebih oke.;;
A Google user;13/10/2019;1;Aplikasi ini kenapa membutuhkan read storage ya? Tidak ada hubungannya dengan booking dan lain lain;;
A Google user;05/10/2019;2;Mau install tapi ragu musti grant gps, write storage ,read storage , cell phone 😞 tak install aja deh. Manual by phone aja;;
A Google user;03/10/2019;5;Good aplikasi;;
A Google user;27/09/2019;4;Lebih bagus lagi jika dilengkapi dengan history servis.;;
A Google user;28/08/2019;1;Pada saat registrasi d apps, muncul pesan kendaraan tidak ditemukan atau belum terdaftar. Mhn saran nya?;;
A Google user;16/08/2019;1;gak bisa registrasi, katanya kendaraan tidak dikenal atau belum terdaftar, aplikasi yang aneh....;;
A Google user;16/08/2019;1;saya registrasi aja belum bisa, masa keterangannya kendaraan anda belum terdaftar.;;
A Google user;07/08/2019;2;Saya coba booking via phone Honda Pradana Sawangan 12-Agu-2019 jam 10.00 masih bisa, tapi via aplikasi tidak ada slot utk servis di jam tsb. Mohon dikonfigurasi ulang ya. Kalau bisa online dan semua jm slot servis terinfo, kalau berfungsi kan aplikasi ini bisa luar biasa manfaatnya. Saya uninstall deh.;;
A Google user;29/07/2019;1;registrasi ribet;;
A Google user;19/07/2019;1;booking service susah sekali dan di telp pada gak diangkat. Honda kalo belum siap untuk online service, mendingan dipending aja dulu e-care nya dari pada bikin kecewa customer. update : Di honda trio motor banjarbaru.;;
A Google user;16/07/2019;1;lupa password minfa ganti tp tetap ga bisa masuk,paraaahhhh;;
A Google user;13/06/2019;5;good app;;
A Google user;07/06/2019;1;dihapus saja aplikasi nya,percuma hanya buang buang waktu,daripada memberikan harapan sia sia buat costumer .nomor telepon tidak ada yang pernah diangkat.mobil honda saya mogok di jalan malah tidak memberikan solusi,lebih baik langsung cari bengkel pinggir jalan.;;
A Google user;13/05/2019;1;baru register aja gagal. Mobil tidak terdaftar katanya. sampah....;;
A Google user;26/04/2019;5;good appl. first using for booking service and get quick respon from call center for confirmation...;;
A Google user;25/04/2019;5;very good app .sangat membantu bgt! tingkatkan lagi;;
A Google user;11/04/2019;5;jgn lupa share like and subscribe;;
A Google user;10/04/2019;5;booking service jadi lebih mudah;;
A Google user;09/04/2019;5;Good apps Friendly user;;
A Google user;09/04/2019;5;Honda is the best;;
A Google user;09/04/2019;3;Mohon lebih dibenahi karena penggunaan aplikasi lebih diminati. Saya booking utk servis di Honda Nusantara MT Haryono tapi oleh SA tidak connect ke komputernya, wah kalah dong sama pesaingnya yg lbh canggih. Mohon ditambahkan juga riwayat servis utk memudahkan memantau kendaraan dan wa/email utk usul, pertanyaan dan saran. Makasih, semoga makin baik lagi. 😊;;
A Google user;06/04/2019;5;layanan yang bagus;;
A Google user;05/04/2019;1;Tidak bisa add dealer, bagaimana bisa booking?;;
A Google user;31/03/2019;5;booking jadi gampang bgt..;;
A Google user;29/03/2019;5;application that will make booking service easier and helpful.;;
A Google user;28/03/2019;1;mau registrasi tp gagal terus... katanya nomor mesin tidak terdaftar..capek deh;;
A Google user;28/03/2019;1;uninstalled. kebanyakan error nya daripada bener nya. exception error terus. don't bother to install guys.;;
A Google user;28/03/2019;1;sekelas honda bikin apps gini? kalah ama anak2 smk... parah;;
A Google user;16/02/2019;5;good;;
A Google user;13/12/2018;1;Kok kendaraan tdk terdaftar trus ya;;
A Google user;19/09/2018;1;Aktifasi email aja gak pernah sampai emailnya;;
A Google user;15/06/2018;2;Berberap hal yg harus diupdate 1. Honda cakra pangukir salemba tidak masuk ;;
ke dalam booking online 2. Honda autoland kelapa gading mau booking online ;;;;;
"tidak ada satupun jadwal yg tersedia""";;;;;
A Google user;07/06/2018;5;Good app provided by HPM;;
Steven;17/12/2025;5;Easy to use & very helpful for booking service;;
Luqman Hakim;23/03/2024;1;"After attempting to log in, the app goes to request personal data. However, I cant tap on the email address box and if all data is not filled the ""Confirmation"" button is still greyed out. Bottomline the app is not useful";;
Indrateruna Kelana Wijaya;18/08/2020;1;"I booked service on 18/08/20 at 07:30, but until 09:00 the bookint status still ""Tunggu konfirmasi"".Then, I called the workshop 3 times but no one answered. At around 10:15, I called the workshop again, and the officer who received my call said there's no booking on behalf of me. So, I have to make a new booking vis her for the service on the other day. Very disappointed. If you can't give the service via your app, please take the app down from tge Google Store.";;
A Google user;04/02/2020;1;I wish when else gave negative feedback, they will improve the app, unfortunately not yet... book service via app, waiting for confirmation until the next day, then I called, informed it was full...and when called to call centre, they said better via telp or WA...;;
Bobbity Bob Ross;03/07/2025;4;Good interface, easy to use. Sometimes it can be a bit slow but not affecting the usage too much;;
Glandy Immanuel;01/06/2025;1;i cannot click all the menu, please fix this application. this application is helpful, but now is not working. i'm running on android 15, i try use mobile data or wifi still cannot click any menu.;;
Edi Solihin Azman;19/08/2020;1;I'm booking in Padang by pass. Not give good service. He suggested to booking by phone. Delete application or give more training to them;;
Agun Gunardi;05/05/2024;1;I used this application for booking service, but now not working anymore with error message : javasecuritycert something like that.... Sound stinky.....;;
Alvie Syahrin;10/06/2023;5;I hope that every car color in this application can be adjusted to the original color, because my brio turns red, the original is white 😁;;
Reza;20/04/2021;1;Wasting my time playing around with this app. Submitted booking service appointment, waiting for confirmation forever. Wont use this anymore.;;
Sastra Anugraha;11/04/2021;1;Unable to see service record history in Honda e-Care app, need to benchmark Hyundai, I can see my Hyundai car service history, I think Honda is too secretive 😅;;
Mustakim _;23/02/2021;1;Useless apps, i need service histories of my car, I don't need to see my car number detail on that app.;;
Ardy Maulana;07/09/2023;5;Aplikasi nya lumayan bagus, bisa lihat service record mobil & booking service jd lebih mudah..good job!!;;
Super fruit;27/10/2022;1;Booking service slot is not aligned with offline booking. Seems like they are not ready to go online yet.;;
Martin Robinson;10/11/2024;4;Easy to use app but needs an English option.;;
A Google user;26/04/2019;5;good appl. first using for booking service and get quick respon from call center for confirmation...;;
Dody Satrianto;16/05/2023;3;Forced close app after clicking booking service. Fix the bug!;;
A Google user;29/03/2019;5;application that will make booking service easier and helpful.;;
A Google user;28/03/2019;1;uninstalled. kebanyakan error nya daripada bener nya. exception error terus. don't bother to install guys.;;
Hari Saputra;10/10/2021;1;Apps sekelas honda, nambahin data mobil aja gak bisa bisa.. uninstall deh. Dear Honda HQ, please review your apps-vendor and team.;;
Gusti Putu;16/03/2025;3;Server internal sering error, tidak bisa registrasi service mobil;;
HC VLOG;01/06/2025;1;Nge Bug can't Access Menu and Choose car;;
Nicholas Liong;14/04/2022;1;Poor develeloped apps, unable to book for service so whats the point for this apps;;
Danny Kurniawan;21/01/2026;4;Gambar Honda BRV saya tidak ada di menu drop-down My Honda.;;
A Google user;05/10/2019;2;Mau install tapi ragu musti grant gps, write storage ,read storage , cell phone 😞 tak install aja deh. Manual by phone aja;;
Pebri Ananta;29/01/2025;5;Aplication help full to know information detail Car and booking service;;
morning up;13/01/2022;5;Helpful app to do booking service at dealer.;;
Ependi Subeno;27/05/2023;1;Can't work after updated. I can't booking service at the moment. Ridiculous;;
Richard Saptabharata;24/11/2021;5;With or without this app, Honda still number one to buy. Because they care.;;
A Google user;06/02/2020;1;I do not want this apps to get many access to my cellphone.;;
Nick Lo;16/03/2025;1;Crash everytime I try to register a car.;;
cinggo sri;07/12/2020;2;Booking service confirmation respond too slow..;;
Kakael Nakano Saputro;09/11/2024;5;Nice Services and cozy place;;
Slamet Murdiyanto;08/12/2020;5;Usefull...and helpfull..;;
dyah utami;20/10/2020;1;the app is keep stoping and close;;
Zulfahmy;09/07/2023;2;Tidak bisa order Booking Service;;
subhan;28/03/2022;5;Nice, many improve idea next version;;
Dr. Yoyo;25/02/2025;5;Nice easy to use;;
Agus Sekti;02/07/2025;5;menu booking service memudahkan untuk menyesuaikan dg schedule pekerjaan;;
Herlandodi 101261;07/02/2025;5;the best service and maintenance;;
Rudy Susanto;29/12/2022;5;This is useful app for Honda Lover... just grab it 😁👍👍;;
arya yuda;30/10/2020;1;This application is so much bugs, couldnt use this app;;
Juniadi Dwipayana;21/01/2022;1;Force close ketika booking;;
Kelvin Christian;07/09/2020;5;User friendly and great app;;
Eka Taruna;08/01/2025;4;#NAME?;;
Arif Somawijaya;31/05/2025;1;not functioning after logging in;;
Prama Imran;18/10/2021;3;Sebaiknya ditambahkan service history;;
Rifqi Hanif Nandiwardhana;18/01/2022;3;Is it only for car services not motorcycle services?;;
Tjeng Christian;16/05/2023;5;This app help prevent unnecessary que at workshop;;
A Google user;05/04/2019;1;Tidak bisa add dealer, bagaimana bisa booking?;;
Rony Wardhana;23/12/2024;5;easy and registered;;
Sandy;22/12/2024;1;Honda BRV is not avalable in the apps;;
Sony Latuheru;01/02/2025;5;good & fast connection;;
Winny Gunantiani;01/07/2025;5;great apps.. really helpful;;
Robby Koesbiantoro;01/04/2026;5;good service for SA ( Ridwan);;
Triana Dewi;06/03/2025;5;easy to use;;
Gagan Gandara;23/01/2025;5;easy to use;;
Hardi Yono Nusawan;09/05/2021;1;Not helping customer;;
Joko Suprapto;18/01/2025;5;easy to use;;
Erwin Sanz;10/04/2025;1;force to update;;
Real;28/12/2022;2;Suka sign out sendiri;;
A Google user;09/04/2019;5;Good apps Friendly user;;
A Google user;11/04/2019;5;jgn lupa share like and subscribe;;
Fajar Setyawan;07/02/2025;5;Good Job, Honda 👍🏻;;
Kevin Prama;22/11/2020;5;Easy to used👍;;
Vino Rino;26/03/2025;5;nice very helpful;;
Deddy Hutagalung;22/06/2024;4;How to re-schedule???;;
Yudha Hendra Kamal;23/01/2025;5;more better at the next;;
jroe 19;04/03/2025;5;membantu dlm booking service & update info Honda;;
Ramli Rusli;24/08/2025;5;verygood in service;;
Riza;02/06/2025;3;min ngebug di home ga bs booking service hp samsung;;
A Google user;09/04/2019;5;Honda is the best;;
Allen Istalaksana;28/02/2025;5;Honda The Power of Dreams 🔥🏁;;
Hap Man;13/01/2025;5;good app honda;;
Kiki hikmat;18/11/2024;5;so far okay lach;;
felix felicis;20/04/2026;1;jelek dan lamban. loadingnya lamaaa sekali. saya isi booking saja nunggunya sampai 45 menit karena proses loading yg lama. promo juga sedikit. ga banget deh kalau pakai aplikasi honda.;;
Yanuar46;04/05/2026;1;Historynya tidak update dan pesan masuk tidak bisa dibuka, hanya ada notifikasinya aja (5/24/23) Update: setelah kirim email dgn lampiran masalah untuk saat ini history servis terlihat namun tidak seluruhnya, untuk yang per tanggal 28/3/23 blm tampil, terlihat langsung di servis terakhir tanggal 17/5/23. Selain drpd itu untuk note servis (saran servis) juga blm hilang, dgn kondisi saran servis perbaikan trsbt sdh dilakukan, selanjutnya pesan masuk blm terlihat. Per 1/5/2026 tidak bisa login;;
Alan Sarante;18/04/2026;1;lambat sekali, tolong perhatiannya;;
Miftachudin Chakiki;29/12/2025;5;mantapsss;;
Teuku Riyadhsyah;12/08/2025;2;Sering kali ketika di cek sudah dalam posisi terlogout. Biasanya aplikasi terlogout jika ada login tidak berhak pada device lain. Tolong diperbaiki supaya tidak terjadi login yang tidak berhak.;;
Edwan Team;29/06/2025;5;sekarang sudah bagus, bisa lihat service record sebelumnya. semoga makin bagus dan lengkap.;;
Hendro Mongi;01/07/2025;5;best;;
candra yudhatama;27/06/2025;5;mantab. sangat membantu;;
Alwi;24/06/2025;4;ok;;
Tatik Cahya;19/09/2025;5;keren;;
adha isori;05/07/2025;5;Sangat Membantu;;
silva dahono;17/06/2025;5;sip, sudah lancar semua;;
Ahmad Bashori;23/06/2025;5;mantap, bagus;;
trista wijayanti;12/06/2025;5;Tetap pertahankan kinerja baik ini, semua mudah tinggal klik saja;;
Quetz Channel;02/06/2025;5;Akhirnya dibenerin jg app nya. Kemarin sampe install ditablet buat booking service nya.;;
Enny Yunita;11/06/2025;5;mudah mudahan bs lebih baik lagi aplikasinya;;
Inggrid Maya;05/06/2025;5;pelayanan bagus;;
Nevy Nisrina;01/06/2025;3;membantu sih, tapi suka nge freeze, jadi stuck setelah masuk aplikasi, gabisa klik apa apa, dan kejadian kaya gini sering;;
Center klik;02/06/2025;2;Setelah update, menu jadi tidak bisa di klik. Mohon segera perbaharui lagi.;;
Roland Andreas;02/06/2025;2;halaman Beranda tidak ada icon yang dapat diakses.;;
Agustini Mashalim;02/06/2025;5;Memudahkan untuk booking service dll jadi tdk usah melalui telpon lagi, semua lewat ponsel saja;;
Riesca Risnendar;02/06/2025;3;Tidak ada history service yg pernah dilakukan;;
Aryoso Rahmayadi;08/05/2025;5;Aplikasi komprehensif untuk service berkala, bisa untuk booking service dan ada history service nya juga;;
satya yudha;04/05/2025;5;Apps yang membantu untuk booking service sehingga tidak mengantri dan langsung dihandle;;
weihan yao;06/05/2025;5;good service;;
Ryan Hardiyanto;16/05/2025;5;Booking cepat mantap 👍🏻;;
Mochamad Faizal Bachri;22/05/2025;5;👍;;
Pujo Sumantri;25/06/2025;5;booking mudah;;
Himawan Santoso;03/04/2025;1;Aplikasi bodoh. Reservasi tak dikonfirmasi-konfirmasi, tahu-tahu di-cancel.;;
Irsan Y Srigede;20/03/2025;5;appnya sangat bermanfaat dan convenience banget;;
Fery K Century21 Jogja Empire;27/02/2025;3;UI / UX nya masih membingungkan;;
Mirza Walad;22/03/2025;5;ada beberapa Fitur yang tidak bisa digunakan..;;
Munandar Setiawan;22/04/2025;5;good service;;
Tedy Arisandi;01/03/2025;5;good service;;
Alfian Adi Atmaja;23/03/2025;5;Good;;
Eric Sibarani;10/04/2025;5;good;;
Mr. Eman Jepara;09/04/2025;5;pelayanan ramah, bagus.;;
Yusron Surya Pranata;02/04/2025;5;mantap, update dan online;;
Kun H;16/03/2025;5;Membantu..;;
achmad junizar;20/05/2025;5;ok;;
andika restu;08/03/2025;5;mantap;;
Bagus Putra;17/04/2025;5;ok;;
aldi alchamim;08/04/2025;5;ok;;
Trisno Sugiyanto;15/03/2025;5;Ok;;
Fikhy Endriaz;07/04/2025;5;bengkel terbaik;;
Erick Tirtawarsita;02/01/2025;1;Aplikasi ga ada gunanya, emergency juga ga ada fungsi. Cuman buat mobil2 baru aja ini aplikasi. Buat mobil tua jangan berharap banyak. Kalo mau cari nmr kontak honda buka aja google map, lgs dpt posisi paling deket sm kita lengkap sm nmr kontaknya.;;
Irfandi;12/01/2025;1;UI UX sangat buruk, navbar tidak bisa diklik, map harus search exact name. Seperti build pakai template;;
Petronila Jean;15/02/2025;1;Aplikasi tidak bermanfaat sama sekali, dipakai buat booking aja ga bisa.;;
Taufik Ardani;14/01/2025;5;app mudah dipahami, mungkin kasi promo apa voucher diskon biar lebih semangat kalo service.;;
Veronica Devy;17/04/2025;5;good app😊👍;;
budi zan;24/01/2025;5;aplikasi yg sangat membantu bagi pemilik mobil honda;;
Granietooo;27/12/2024;5;good app;;
Ika Rakhmawati Hilal;16/02/2025;5;nice app;;
Indra Rukmana;16/01/2025;1;booking aja lama bgt;;
Teuku Mahendri;26/12/2024;5;good;;
Revorizar 46;24/12/2024;5;good;;
cup 10;09/01/2025;5;excellent;;
Badai Bayu Sasmito;09/01/2025;5;Good;;
Addi Gesang Sentosa;09/02/2025;5;sangat memudahkan..terima kasih;;
Heri Chang;29/01/2025;1;ribet;;
Much Do;25/01/2025;5;Mantaab 👍;;
felicia limantoro;31/12/2024;5;mempermudah proses booking;;
Indri Rakan;14/02/2025;5;mudah;;
Sunarto San;24/12/2024;5;ok;;
vina chandra;17/02/2025;5;ok;;
erik tan;22/01/2025;5;mantap;;
erick ariyanto;01/01/2025;5;ok;;
Suherman suhe;01/02/2025;5;sangat memudahkan;;
Willy adrianus;19/12/2024;1;Staff tidak memberikan solusi.. paketan servis honda juga tidak berlaku terlalu banyak syaratnya;;
Ano Narno;03/12/2024;5;simple, menu jelas, mudah penggunaannya. Tks;;
Andri Harianja;24/11/2024;5;Sangat membantu, khususnya untuk booking service.;;
M. Yani Syafei Kartawinata;03/12/2024;5;good jobs;;
Susanti Koh;29/11/2024;5;good;;
Heri Anggono;25/11/2024;5;aplikasi mudah dan lancar;;
tuti yuliani;07/12/2024;5;layanan ba gus;;
Judi Ridwan Pratama;16/11/2024;5;👍👍;;
mohamad sopian;13/11/2024;5;bermanfaat dan sangat membantu;;
Sahmudin;07/11/2024;3;Tidak ada fitur history services, isinya kosong ....kurang berguna apps ini;;
nafis farabi;03/11/2024;1;Tidak bisa isi tanggal Dan jam booking;;
didakusnovy novy;05/11/2024;5;aplikasi simple yg sangat membantu;;
fatma amalia;10/11/2024;5;terbaikk;;
nandar Junizaf;02/11/2024;5;bagus;;
Bong Arianto;28/10/2024;4;Tolong bagian IT Aplikasi, itu Logo BRV masa blank... Yg lain model aman, cuma BRV Blank;;
Patana Satya;07/10/2024;2;Kenapa sejak kemrn aplikasi tidak bisa running ya, sudah uninstall dan install ulang masih tidak mau masuk ke home... Alias tidak mau running...;;
akhmad fariz;28/07/2024;5;Sangat membantu untuk booking service;;
albert k;05/07/2024;1;Sudah reset password and masukin password Baru. Tapi waktu mau login no hp / passwords Salah. Sudah clear cache delete data. Coba login lagi salah. Sudah di bantu cs di toko 2 bulan lalu and sekarang juga sama kondisinya;;
Rowena Suryobroto;17/06/2024;3;Booking service bermasalah? Kemarin pesannya internal server error. Hari ini saya pilih dealer, tapi tidak bisa lanjut;;
Sulut Sehat;08/06/2024;1;Tanggal booking tidak tersedia padahal mau servis;;
Suluh Prihanto;05/05/2024;3;tidak bisa login aplikasi, keterangan java security not found 🤷🏻;;
syndicate kancil;05/05/2024;1;Habis update malah error;;
Gian Giovani;30/03/2024;2;Hbais update nge crash terus aplikasinya. Parah parah;;
Filipus Adityo;25/03/2024;1;Pembaruan yang banyak bug, entah lokasi dealer, pin, tidak bisa booking service online dll;;
Joshua Christian;03/03/2024;1;Versi terbaru error terus;;
Warno Mts;18/02/2024;5;Setelah di update dengan Honda e-care terharu, jadwal service berikutnya menjadi salah, justeru yang bener yang sebelumnya;;
Paulus Arka Triyoga;07/02/2024;2;Aplikasi tidak bisa digunakan. Baru memasukkan data mobil saja tidak bisa. Sudah memasukkan no rangka dan mesin, tetapi dikatakan salah data;;
Romi H.;24/01/2024;1;Gagal terus ketika upload foto stnk. Sdh restart hp dan reinstall aplikasi;;
Garda Al Haq;09/12/2023;1;Booking service di apps udh dr bbrp minggu lalu untuk jam 8 pagi, sampai bengkel status tidak terdaftar. Jd hrs tunggu lg sampai 8.45;;
Alex Hand;07/11/2023;3;Isi data kendaraan keterangannya, nomer rangka dan nomer mesin tidak cocok. Padahal sesuai buku servis dan bpkb. Knp bisa begitu min?;;
Iwan Sugiarto;03/01/2024;2;Data yg sudah diisi dan disimpan tapi jadi kosong/ salah lagi. Data yg sama diminta lagi bbrp kali.;;
Arief Maulana;21/01/2024;3;Tidak bisa nambah akses kendaraan..di notif hp istri saya nihil..tdk ada notif;;
Rian Septiana;15/12/2023;1;data kendaraan saat ini tidak tersedia. hadeuuhh..;;
Beny Hinadrayanto;22/10/2023;1;"Aplikasi bagus bisa dapat 4-5 bintang tapi diberikan 1 bukan maksud membenci tapi bintang 1 ini diberikan untuk menjadi perhatian, mohon diperbaiki ketika menekan tombol hapus diberikan peringatan dahulu ""Anda yakin akan dihapus"". Setelah ini akan saya buat menjadi bintang 5 kembali.";;
Satya Widhismara;22/10/2023;1;Tidak bisa mendaftarkan mobil karena entah bagaimana sudah terdaftar di akun lain. Ketika disubmit tidak ada pesan / notifikasi berhasil, tab pesan hanya menunjukkan layar kosong;;
Harry Moniaga;09/09/2023;5;Cukup puas selama ini dgn service dari Honda;;
danny febryana;17/09/2023;5;Bermanfaat bagi pengguna mobil Honda;;
Ramdanih;30/08/2023;3;tampilan biasa saja. mesti update dengan UI & UX yang lebih bagus. aplikasi sudah ketinggalan jaman.;;
A Google user;25/08/2023;5;Aplikasi sangat membantu dan mudah sekali dalam membuat Booking service 👍👍;;
Sotoy Kaiba;31/08/2023;1;Gak bisa memasukkan data mobil;;
taufan pradana;28/07/2023;1;Saya kasih bintang satu karena sekarang kalau mau tambah kendaraan selalu muncul notifikasi nomor rangka dan nomor mesin anda tidak cocok, mohon periksa kembali nomor mesin dan nomor rangka anda.. ga berguna aplikasi ini sekarang.. saya juga coba daftar mobil honda lain, namun hasilnya sama tidak bisa...;;
Gabriel Andrew Ng;04/08/2023;5;Useful;;
Ardoto Priyo;26/07/2023;5;Detail 👍;;
Anif RS;07/07/2023;5;Mudah digunakan, sangat mrmbantu..;;
Karin Ax;30/06/2023;1;Mau booking aja susah bener, disuruh nambah permintaan pelanggan tapi bs diklik. Payah banget appsnya. Applikasinya kayak kita mau ke honda buat service gratis aja. Ga beres.;;
Andra Hendria;24/07/2023;5;Cepat responnya sejauh ini,, teknisinya gercep.. untuk harga standar hanya nambah biaya pelayanan saja;;
Mariana Verdy;03/12/2024;5;Pelayanan baik, ramah dan memuaskan;;
Hero;05/06/2023;5;Sudah bisa dibuka, makasih kak;;
Januar Hadi;03/06/2023;3;Nggak singkron catatan servis di bengkel sma di aplikasi ini 😪🥴;;
Chae Ree;31/05/2023;2;Gak bisa book service , ada bug tulisnya;;
Sahri Rahman;27/05/2023;3;Awalnya bisa buat booking service, tapi sekarang gak bisa di buka, tolong di update lagi karna sangat membantu;;
hasan ngui;12/05/2023;5;ok dah. spesifik datanya;;
Donny SW;09/05/2023;5;Bagus;;
Titus Ciputra;02/05/2023;1;Mendadak info kendaraan saya hilang, coba daftar ulang kendaraan tetep tidak bisa.;;
Wibi Bee;20/02/2023;1;coba booking service 1 bulan, dah 2 hari status nya masih tunggu konfirmasi... padahal mau service nya di Indonesia om, bukan di jepang... ya mungkin made in Japan... always slow;;
Mikhayla Georgia;16/03/2023;2;Saya forget password ga bs ktny akun tdk terdaftar :(;;
Wilson Chen;05/02/2023;1;Kenapa tidak bisa mendaftarkan mobil? Disuruh periksa nomor rangka & mesin terus?;;
Nadira Erfira;20/02/2023;4;Good;;
Bayu Segara;08/03/2023;5;Mnrt ane Aplikasi bagus.ada vocernya;;
abi mbes;28/01/2023;5;Pelayanan prima;;
Revi Rosa Indah;27/12/2022;5;Pelayanan baik dan ramah;;
Daffa Adhika Widi Wardhana;27/12/2022;5;Berfungsi dengan baik;;
Lia Novita;07/08/2022;1;Aplikasi useless, CS menyarankan booking lewat aplikasi, jadwal penuh semua hanya tersedia hari Minggu. Saya sdh booking hari Minggu, bengkelnya tutup dan ga ada konfrimasi apa-apa. Kalau dealer ga siap dengan aplikasi, better nggak usah sarankan customer pakai app, buang2 waktu customer namanya.;;
andy rianton;16/04/2022;1;Booking service menggunakan aplikasi ini karena ada voucher. Sudah klaim dan booking via app nya, tapi saat klaim voucher tidak bisa. Ditunjukkan saat service jg katanya error gak muncul voucher nya. Jadi merasa ditipu untuk service di honda nya, mengecewakan.;;
Hansky Kie;15/02/2022;1;Daftarkan kendaraan diminta cek nomor rangka dan mesin kembali terus. Padahal sudah 3 orang bantu pastikan betul. Tetap aja diminta cek ulang nomor rangka dan mesin. Apa gara mobil saya yg daerah FTZ??;;
kak made;21/06/2022;1;Selalu gagal menambah kendaraan. Periksa kembali nomor mesin/rangka. Nampaknya serial database kendaraan belum diupdate dari pihak Honda HPM.;;
Darwin;18/09/2022;1;Aplikasi yang buruk.data kenderaan yang diinput sudah sesuai stnk untuk no rangka dan no mesin malah gk bs ditambahkan.klo aplikasi nya sdh bisa validasi sendiri ngapain srh nasabah input lg no rangka dan mesin.nasabah dah input malah validasi aplikasi diblg salah;;
Alif Fajar Rahman Sidiq;04/03/2022;1;Nambah kendaraan gak bisa !!! Suruh cek no mesin dan rangka, padahal udah bener !!! Apa gara2 mobil CBU ??? Gak guna sama sekali ini apps. !;;
Bayu Januar Rahayu; S.T.;23/03/2022;5;Tidak salah pilih honda (honda kumala karawang) , pelayanan service nya sekarang ramah dan bagus banget , bisa kerja sambil nungguin mobil di service karena ruang tunggunya di design untuk sambil kerja jga di laptop , dan booking service makin praktis(app honda e care) tanpa harus antri tanpa kepastian;
hendra ritonga;03/07/2022;5;Mantap, rekomendasi service dan riwayat pekerjaan lengkap... (kalo service resmi). Kalo nga resmi juga kelihatan... berarti ke service tidak resmi.;;
Prasetyo Aji;03/02/2022;3;Aplikasi force close ketika booking service (updt sdh ada tanggapan via email, blum dicoba);;
Arnoldus George Alexander Palar;27/09/2022;4;Tombol hapus kendaraannya tidak ada confirmation, kalau tidak sengaja ke-tap, kendaraan langsung kehapus;;
JS Permana;06/05/2022;1;Tidak bisa registrasi. Poor development;;
Rendy Pratama;22/09/2022;5;Aplikasinya mantap, pas dateng sesuai dengan schedule yang di tentukan, pelayanan seperti vip, terimakasih honda;;
Iman Lusion;02/10/2022;4;Sejauh ini cukup baik dengan data history terintegrasi;;
Yopi Suwanto;12/03/2022;1;Muncul error saat registrasi;;
Djoko Nurtjahjo;30/08/2022;5;Keren ... bisa liat histori service;;
Diajeng Putri Anggraini;01/10/2022;1;Useless;;
Bagus P;30/11/2022;5;Sangat terbantu dengan aplikasi ini;;
Zack Mokhid HIMALAYA Official;22/11/2022;5;Oke;;
Mang Darman;04/10/2022;5;Sangat Bermanfaat;;
legowo putro;26/01/2022;4;Habis update terakhir malah tidak bisa dibuka appsnya;;
Jimmy sudiro;26/01/2022;1;app error tdk bisa dibuka ????;;
Arya Pradana;08/01/2022;2;Tidak bisa booking servis. Sudaj mengisi semua data, klik simpan tapi balik ke menu utama.;;
yochan yochan;22/12/2021;1;Minta kode AKTIVASI tdk prnah dikirim. Folder spam & inbox kosong. Gimana mau login. 😪 Semoga honda segera hire ahli IT yg baru.;;
Aditya Andika;07/10/2021;1;Ga bisa update tambah kendaraan. Udah klik simpan ga bisa. Tampilan voucher kosong sama sekali pdhl saya mau ganti recall fuel pump;;
Andri Setiawan;06/10/2021;1;Tidak Bisa Menambahkan kendaraan, otomatis tidak bisa booking service.. aplikasi jadi tidak bisa digunakan.. honda kenapa tidak sync data di bengkel dan di apps, tiap ganti bengkel selalu daftar lagi.. kalah sama sebelah;;
Ben Dahyar;18/08/2021;1;Bangke lah aplikasi kalian. Kalian batalkan konfirmasi booking service saya saat tengah malam. Aplikasi tak guna. Menuh-menuhin handphone aja;;
SAGA pictures;14/12/2021;1;Login tidak bisa karena alamat e-mail tidak valid Daftar dg alamat email yg sama tidak bisa karena katanya sudah digunakan Ganti pasword tidak bisa diproses karena tidak ada tombol lanjut setelah menginput alamat email;;
